top - 06:48:50 up 2 days, 21:40,  3 users,  load average: 0.25, 0.42, 0.38
Tasks: 234 total,   1 running, 228 sleeping,   3 stopped,   2 zombie
%Cpu(s):  1.7 us,  0.7 sy,  0.0 ni, 95.9 id,  1.6 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem:   3924064 total,  2702380 used,  1221684 free,   150068 buffers
KiB Swap:  3983356 total,      360 used,  3982996 free.  1300100 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2612 goldbeef  20   0    7668   2216   1496 S   0.0  0.1   0:00.46 init
 2764 goldbeef  20   0    5372   2312    924 S   0.0  0.1   0:18.22 dbus-daemon
 2775 goldbeef  20   0    6356   1048    916 S   0.0  0.0   0:00.05 upstart-event-b
 2785 goldbeef  20   0   40860   3204   2788 S   0.0  0.1   0:00.20 window-stack-br
 2787 goldbeef  20   0   65492  11232   2876 S   0.0  0.3   1:46.02 ibus-daemon
 2796 goldbeef  20   0   29336   2712   2320 S   0.0  0.1   0:00.03 gvfsd
 2801 goldbeef  20   0   44376   6928   2376 S   0.0  0.2   0:00.00 gvfsd-fuse
 2821 goldbeef  20   0    6720    876    644 S   0.0  0.0   0:00.01 upstart-file-br
 2823 goldbeef  20   0    6360    348    192 S   0.0  0.0   0:05.86 upstart-dbus-br
 2825 goldbeef  20   0    6360    596    432 S   0.0  0.0   0:05.75 upstart-dbus-br
 2839 goldbeef  20   0  281620  14620  10748 S   0.0  0.4   0:14.36 unity-settings-
 2843 goldbeef  20   0  141076  32440  12120 S   0.0  0.8   0:04.42 hud-service
 2851 goldbeef  20   0   44648   3156   2744 S   0.0  0.1   0:00.00 at-spi-bus-laun
 2852 goldbeef  20   0   75412   9740   7224 S   0.0  0.2   0:00.45 gnome-session
 2859 goldbeef  20   0    4368   1828   1384 S   0.0  0.0   0:00.07 dbus-daemon
 2865 goldbeef  20   0  152004  24972  11332 S   0.0  0.6   5:13.52 unity-panel-ser
 2891 goldbeef  20   0   38892   7264   2760 S   0.0  0.2   0:00.01 ibus-dconf
 2892 goldbeef  20   0  158140  27600  11188 S   0.0  0.7   2:03.64 ibus-ui-gtk3
 2896 goldbeef  20   0   52220   6320   5028 S   0.0  0.2   0:00.03 ibus-x11
 2898 goldbeef  20   0   17360   3056   2628 S   0.0  0.1   0:00.36 at-spi2-registr
 2912 goldbeef  20   0  135432  11092   7312 S   0.0  0.3   0:07.33 bamfdaemon
 2958 goldbeef  20   0    5860   2024    704 S   0.0  0.1   5:16.24 wineserver
 2989 goldbeef  20   0   75164   7016   5192 S   0.0  0.2   0:30.31 ibus-engine-sun
 2996 goldbeef  20   0 1598676   3816   1332 S   0.0  0.1   0:00.00 services.exe
 3000 colord    20   0   37320   8812   3664 S   0.0  0.2   0:00.10 colord
 3001 goldbeef  20   0    3736    804    672 S   0.0  0.0   3:35.12 syndaemon
 3005 goldbeef  20   0   24636   4612   2036 S   0.0  0.1   0:00.10 dconf-service
 3024 goldbeef   9 -11  101976   5392   3712 S   0.0  0.1   0:03.95 pulseaudio
 3035 goldbeef  20   0   29440   3040   2656 S   0.0  0.1   0:00.00 ibus-engine-sim
 3045 goldbeef  20   0  160568  15060   7228 S   0.0  0.4   0:09.62 indicator-keybo
 3049 goldbeef  20   0   46856   2572   2236 S   0.0  0.1   0:00.00 indicator-messa
 3051 goldbeef  20   0   37880   2620   2280 S   0.0  0.1   0:00.00 indicator-bluet
 3052 goldbeef  20   0   38484   3120   2636 S   0.0  0.1   0:22.91 indicator-power
 3057 goldbeef  20   0  106192  16436   4532 S   0.0  0.4   0:03.22 indicator-datet
 3058 goldbeef  20   0  128816  10980   3872 S   0.0  0.3   0:06.85 indicator-sound
 3059 goldbeef  20   0   58220   9732   7276 S   0.0  0.2   0:00.13 indicator-print
 3077 goldbeef  20   0   31892   6900   3988 S   0.0  0.2   0:13.42 geoclue-master
 3079 goldbeef  20   0   94824   7536   5360 S   0.0  0.2   0:00.09 evolution-sourc
 3091 goldbeef  20   0   67912   3344   2704 S   0.0  0.1   0:00.23 indicator-sessi
 3119 goldbeef  20   0   43032   7992   4860 S   0.0  0.2   0:14.14 ubuntu-geoip-pr
 3122 goldbeef  20   0   47592   4288   3432 S   0.0  0.1   0:02.16 indicator-appli
